,Topics -->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,,,
Douglass' Monthly,13.22289208,12.04608864,10.48681532,9.517639908,14.40010324,22.34614284,12.75664592,9.497160343,10.70478909,38.84615233,14.97316931,7.509831778,33.77976777,13.22353494,31.13154543,13.5753781,13.3972883,8.898591709,8.792224825,9.388765237,17.05516383,8.734957612,15.52491809,22.84562541,19.02156513,15.92855903,10.65469595,13.14342203,16.30082304,12.22513584,10.04844189,20.90081891,12.604036,10.74637311,9.416943069,9.568075312,9.491338082,21.61057138,17.66471095,25.50175471,31.00497962,17.90873448,13.28966078,9.006744526,86.69247475,12.92890495,12.65154835,16.03819202,8.272081476,10.83363214,9.833673167,21.86010525,10.85854411,21.84900491,20.44493597,21.2876718,12.16025327,9.673753274,10.37104548,11.58983468,11.59317196,9.240825837,17.48389068,12.17535806,23.03108676,8.686558728,19.58700412,14.31964823,15.62555289,68.44739726,9.171887778,19.16232603,9.623260925,17.81601119,13.47079919,9.468713415,13.99265277,28.49785396,8.612937701,9.976668421,10.79120455,8.206153519,9.600449992,15.92653291,21.29594641,9.979708835,28.79745542,14.06531304,8.782347155,9.522343407,21.38396418,12.27289684,103.8610464,37.84268712,17.95466857,22.37063354,15.99027417,8.744113674,12.89096483,10.69945819,,1717,<-- total number of articles in this title
Frank Leslie's Weekly,430.9930763,315.8261731,441.4419906,956.5918435,414.8882412,432.3612872,1278.900992,318.591875,281.1462611,183.3657747,334.2102371,338.6251079,228.5108575,223.9951649,383.0832403,373.1020763,364.5769386,286.6494259,568.7715994,503.0918532,890.2130107,1549.295255,215.7465151,350.8124265,446.4909031,294.258298,370.2857669,715.538004,740.7407575,483.8833346,1169.521327,415.5935672,201.6564464,299.2488302,556.7286043,285.6839342,199.4875391,414.2889982,538.2830553,599.3049579,293.0679642,466.0191496,480.0020007,1414.941824,138.3063779,437.4525349,418.3175735,532.4260358,439.3397069,334.2233453,295.458736,327.715631,678.4532049,500.2859902,272.8941579,183.7108858,646.9200105,442.6851124,234.0531981,296.3993195,541.972474,1016.80798,334.3820721,274.8246904,352.4431709,549.0715548,367.9552535,222.335648,356.3455614,248.8716665,1009.71246,261.6174214,623.0518817,520.4915405,233.0228291,1889.58765,512.7609795,533.649689,199.9203395,290.1160438,712.4886614,312.9009372,699.5420279,360.9514999,157.4856343,594.4268693,325.0820529,362.903462,611.1020782,377.1323931,308.0213465,227.2553251,139.816511,1310.08023,414.2288749,261.6445543,504.0824276,258.6683242,720.7556083,702.0319745,,47928,
Frederick Douglass Paper,100.1258684,92.79287722,87.02699528,69.64391101,97.84047578,185.4710396,64.85433957,90.07431069,63.95190457,196.1072761,111.6705956,58.94823047,180.7509631,149.1858485,218.3685872,140.7240115,122.9562805,68.50716113,75.3814889,85.00949212,94.20318547,62.61946709,170.4375204,154.3833422,142.0560466,119.7991771,94.84302129,100.6373295,96.418269,115.3908068,79.67731639,89.96920979,84.26480982,96.28605252,74.83719307,76.33560799,63.15057047,115.0842377,110.1568798,146.0856725,77.26481217,120.6021731,101.5330149,69.97540246,42.84964178,114.183119,112.8077552,109.7865377,73.78453824,83.30414328,85.91113691,179.5371383,97.7325216,155.2559762,157.6828084,198.9261254,91.47982129,81.2019146,78.22990295,88.55598202,124.496976,69.08655778,149.6923381,117.4642785,111.1965001,76.95252865,220.4862131,113.6137649,123.6533771,59.74453473,77.64302908,154.5195947,77.69549377,129.5802278,108.5881226,44.72477434,103.7253799,134.2060167,63.9838241,79.67860374,114.1201813,64.94954402,98.99898368,137.470401,47.00084043,94.17008045,173.7382106,94.56736168,88.45060204,65.05688943,172.9329161,100.7121256,44.52163265,78.53553831,109.8755739,124.0629854,126.1017389,59.95160438,111.1805479,87.23826951,,10601,
Freedom's Journal,28.59759809,24.86451279,21.30966593,13.03989214,19.83067177,31.0204459,12.15559598,19.61184738,14.90884922,33.30263483,13.97915419,12.4075725,23.43596488,18.46826979,26.4879436,19.39276222,25.30246799,12.63052998,21.18320319,22.1745159,12.83288459,10.65244001,18.96554381,26.5042863,17.76850506,20.72900239,18.19651338,35.72682945,33.7325548,66.19154319,12.70251617,31.66162108,11.25009801,19.14084991,20.68317854,22.96193303,13.03006954,15.95928489,17.09816439,56.77316215,15.93817392,21.62267493,15.39436482,11.68751803,7.7315627,70.6713831,29.14926404,24.88268484,13.61858212,12.71820399,14.6084649,20.36091227,22.24723143,27.49538348,26.60004335,14.74866667,14.05705263,30.25761879,15.84820475,13.33153066,13.47216642,13.41967681,32.09016468,24.81132168,19.76009609,13.87340471,10.79523868,15.71723664,20.95589202,9.357597585,13.27978837,20.72906196,13.67354745,29.50887355,13.55694565,8.375982991,16.15240967,16.23074692,12.73789009,19.42388827,20.34272681,15.7773317,21.63263413,35.30762556,8.638329772,25.8606601,24.74667749,24.74158861,25.62751495,13.99812512,16.34089611,19.48118794,7.799964568,16.7710491,22.07007734,12.60167584,17.87034962,11.86870635,26.82168369,21.1446646,,2047,
Godey's Lady's Book,418.4653786,306.8330788,446.928766,235.2926955,280.9119423,224.5999822,276.4685479,406.2071755,238.0387997,158.0529076,167.8005487,2331.045907,181.5263333,163.0700749,188.8835569,227.8412911,637.8828565,952.4665082,374.4210247,791.0896704,322.0041331,219.4704581,175.2889196,271.6951078,307.6688852,270.0341529,234.4375646,404.0130931,235.7261741,1635.697294,203.0635337,201.4676435,160.7485584,218.3913139,390.5687446,267.9577437,155.3106783,175.386627,202.8592003,207.8723442,176.2064578,434.4189837,169.4310268,195.423322,329.1248748,656.3239225,935.1074441,238.2567869,341.8827328,215.2695291,369.2496709,175.4714694,417.6972472,314.7281447,295.7617072,161.7815681,204.185211,385.9459669,175.5927134,278.6157162,624.2846725,328.3155559,282.010496,181.9813973,211.6293523,1100.556828,162.1629485,186.1747285,253.5922963,156.0419692,365.4584405,208.691236,556.4483489,396.2089066,194.0001166,159.0828945,179.7375374,211.5245658,159.3566705,362.7952975,206.8412143,1319.10676,763.6591476,410.1220651,423.2124081,769.035714,313.8174668,276.763155,1214.414384,365.2830651,199.7758143,271.3966456,189.1862248,205.8394776,323.567739,170.0509325,331.528962,1752.317534,772.4476212,501.6156993,,38798,
National Anti-Slavery Standard,74.07744236,53.60372093,63.54300244,36.00877113,69.51877247,113.5573674,38.04016233,75.07535375,44.83961515,162.5534173,102.1520462,33.09412396,64.99887491,91.87518986,141.0839263,94.92302371,87.82091392,39.94375475,71.68691822,68.71834898,187.5928192,31.69624838,320.9284116,116.243644,92.72348471,85.866777,99.78942745,82.67818831,76.90701104,158.4423399,54.69061027,75.35629048,284.7326227,52.01845865,62.99702732,257.7355184,33.3711979,76.39097735,50.08184945,137.4521251,394.9798668,101.3378446,156.4083109,69.35504728,21.09757117,152.2960778,96.32065427,96.19152634,37.88329567,54.33910677,36.70334884,130.4710298,68.00326632,109.7068796,89.69561303,213.4359459,50.69272367,66.27990274,41.78463163,51.55677142,102.9479153,48.80479322,150.2852933,87.18878645,126.5767737,40.8369374,113.610715,91.41391068,86.75773927,30.51242972,41.37556256,103.9941009,46.13327437,99.52206436,58.92948938,96.51077251,61.14334475,97.2626216,39.97753957,61.51225084,89.84363525,46.84446059,58.6022466,102.9791417,22.96391031,68.82307207,135.9594381,79.02433504,84.98607529,40.46033668,85.76296665,71.19982629,21.86097714,59.68286028,79.45335733,120.5236324,64.34994225,33.37710973,93.65464146,56.00253067,,8905.000001,
National Citizen and Ballot Box,3.470168931,3.521142875,2.695012973,1.891352871,3.393532669,3.609360625,6.038883818,2.476045382,1.851684388,1.55981125,6.03731135,2.373626638,1.919358304,5.365814117,5.298719655,5.050417079,3.019020421,3.213489045,2.228437889,1.986729013,8.291324692,2.555663959,3.200872393,2.053587354,3.720137638,2.264534301,2.65879952,1.857740986,1.448759051,1.748309462,4.188056899,1.783731212,2.214073884,2.707152447,1.660219408,19.50564888,1.676076827,4.416566172,2.307857554,1.856245873,4.533476027,3.609694143,1.774834277,2.786852284,1.169574318,1.853971533,2.462696158,2.423129763,2.143535028,3.592375211,1.771153267,11.97969657,2.009761611,3.150385642,3.155123545,2.008866085,2.755366948,2.690403464,2.081444276,59.57822513,4.26808962,8.572452859,2.974714837,2.259637771,1.938731805,2.369330033,4.796548913,2.481851434,3.947166904,1.559523596,2.044021142,5.015793102,2.453943937,2.913372499,1.827711351,2.951649501,5.769501004,5.720516458,1.949562233,5.106293903,2.227930046,2.217603484,2.057474652,5.432036486,1.272643676,2.362795086,3.823988809,2.165221176,1.97675989,1.405240869,4.444358083,2.263331971,1.123374905,1.939125045,2.80396245,1.680258829,3.269014599,1.674321031,2.176717258,4.117585705,,378,
Provincial Freeman,51.80136633,43.19565718,54.76890409,40.36806581,48.96962363,58.11476962,32.68785552,36.09151066,32.33929474,64.99601312,45.42874249,34.73317165,69.46648177,48.70296503,69.45397241,68.0716462,45.39531782,32.86954891,45.53610136,67.14969497,36.4286937,30.88107863,44.66311433,58.45534042,53.55167201,54.56817536,111.2149908,67.2262483,79.04106482,62.4427712,42.3328788,59.59098226,28.62087899,50.17317255,38.6838109,47.7416866,30.39287792,45.75859613,92.64910084,100.8270056,32.26179595,56.11212595,61.9425857,33.54031695,21.58283315,64.84888271,48.55871339,66.50848812,51.49372841,35.10836962,34.9907049,53.73381739,57.64205607,68.83632757,52.46118305,44.4254943,54.76299987,45.78858563,37.95170462,36.97094697,36.694928,35.12976891,63.8768307,52.63842911,63.63911657,35.26515589,47.12223709,48.02458726,55.05194987,27.85467507,33.86445805,45.262087,36.66855604,66.73825712,39.83297467,22.71106094,47.92036629,50.15775578,32.82689848,32.96717783,129.3789207,72.38849524,53.03121908,54.17396214,23.59841487,50.68368834,56.59374196,43.93755561,54.49872528,40.3947602,53.43439765,39.11931582,21.76577443,63.29920353,63.82598138,47.32787686,46.74884891,32.63023985,54.73274419,53.28236004,,5014.000001,
The Christian Recorder,1044.968821,1548.62605,1053.613228,845.6529953,1216.729315,1577.754313,890.1510843,1125.182637,699.0445717,674.614708,816.873613,704.5063566,1289.254337,1090.21656,857.1216384,1179.602944,1361.269676,839.8676107,731.5687366,1044.224477,1113.346425,859.1172558,923.023168,862.9689353,1254.614469,1075.526007,859.1375681,946.8488368,827.0831313,1362.504488,925.3882064,1013.099614,653.5075386,872.6395139,753.8451369,1199.793565,3869.73776,1324.021339,1081.965272,887.6939264,678.4254372,1449.221311,765.487888,840.7508006,519.6876316,878.8965832,1266.955759,1034.70675,1530.437109,1392.01514,790.3056457,844.573779,1016.865799,1240.717662,1372.010332,674.6503234,937.8218675,1012.611576,3780.236057,805.0386766,1140.67127,960.117313,1042.265503,1741.372877,789.9236673,820.1105154,869.8967159,1531.751869,1894.915826,718.7489811,808.3631116,868.7126052,832.3997627,1252.691316,761.3047297,552.1673334,1261.043084,952.6261087,3234.939831,1265.174374,854.4614737,789.893677,1086.976572,1248.49655,567.3881398,900.9244589,1049.022634,1274.395639,1056.496257,705.8085616,1208.316936,2409.696349,522.6541995,1225.376332,1159.708231,856.6829617,1250.775372,715.468149,999.5646693,1023.574097,,110293,
