Topic,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10
0, wife, children, father, mother, young, husband, family, child, woman, son
1, school, children, schools, education, young, teachers, teacher, instruction, work, boys
2, health, food, disease, body, patient, sick, cases, treatment, physician, case
3, car, motor, machine, work, miles, engine, speed, automobile, power, cars
4, year, hundred, days, months, week, ago, past, number, ten, present
5, john, james, william, smith, thomas, george, henry, brown, wm, charles
6, address, cents, free, send, agents, gold, mail, price, broadway, york
7, read, words, language, books, english, book, history, written, poet, literary
8, ye, give, long, en, true, ad, hand, con, find, hold
9, slave, slavery, slaves, free, freedom, master, emancipation, states, slaveholders, property
10, house, bill, senate, committee, senator, resolution, question, vote, motion, congress
11, silk, black, dress, white, fig, trimmed, lace, velvet, front, back
12, colored, white, negro, race, black, color, country, free, colonization, negroes
13, resolved, convention, committee, meeting, resolutions, resolution, adopted, report, appointed, held
14, court, law, case, judge, state, trial, person, jury, act, justice
15, paper, editor, press, article, papers, herald, era, published, readers, journal
16, life, world, soul, nature, mind, power, human, heart, spirit, earth
17, lady, book, number, ladies, christmas, articles, godey, fashion, send, order
18, de, king, paris, prince, french, queen, la, royal, madame, france
19, water, found, surface, iron, small, oil, process, glass, heat, air
20, cents, price, frank, copies, illustrated, published, leslie, year, copy, york
21, york, american, world, game, club, big, year, work, play, chicago
22, society, meeting, friends, antislavery, held, annual, meetings, fair, committee, county
23, public, conduct, character, false, spirit, mob, indignation, language, contempt, guilty
24, fact, true, question, facts, point, case, reason, truth, matter, argument
25, letter, sir, dear, friend, letters, received, gentleman, read, written, give
26, cotton, corn, market, wheat, farmer, flour, farm, white, cents, grain
27, horse, head, dog, horses, feet, back, animal, dogs, foot, hand
28, ship, captain, board, vessel, boat, sea, vessels, steamer, port, crew
29, thy, thou, thee, er, love, heart, earth, light, tis, soul
30, business, company, york, bank, cent, american, stock, money, interest, united
31, africa, west, india, island, native, country, british, islands, chinese, american
32, boston, massachusetts, phillips, antislavery, garrison, parker, mass, worcester, foster, quincy
33, temperance, drink, city, wine, liquor, evil, state, tobacco, strong, intemperance
34, lady, replied, sir, young, exclaimed, lord, hand, father, cried, continued
35, street, philadelphia, goods, store, hand, books, attention, prices, sale, assortment
36, rev, conference, bishop, district, presiding, elder, johnson, turner, brown, annual
37, state, ohio, virginia, county, kentucky, washington, north, south, cincinnati, pennsylvania
